date,total
2012-09-01,2
2012-09-02,2
2012-09-03,409
2012-09-04,395
2012-09-05,426
2012-09-06,392
2012-09-07,508
2012-09-08,3
2012-09-09,5
2012-09-10,919
2012-09-11,552
2012-09-12,582
2012-09-13,362
2012-09-14,484
2012-09-15,292
2012-09-16,2
2012-09-17,670
2012-09-18,542
2012-09-19,463
2012-09-20,516
2012-09-21,506
2012-09-23,8
2012-09-24,383
2012-09-25,1040
2012-09-26,692
2012-09-27,1176
2012-09-28,1063
2012-09-30,19
2012-10-01,654
2012-10-02,686
2012-10-03,549
2012-10-04,4317
2012-10-05,1416
2012-10-06,8
2012-10-07,3
2012-10-08,406
2012-10-09,647
2012-10-10,538
2012-10-11,505
2012-10-12,534
2012-10-13,1
2012-10-14,2
2012-10-15,492
2012-10-16,518
2012-10-17,498
2012-10-18,460
2012-10-19,526
2012-10-21,2
2012-10-22,596
2012-10-23,575
2012-10-24,615
2012-10-25,618
2012-10-26,535
2012-10-29,694
2012-10-30,1099
2012-10-31,1138
2012-11-02,207
2012-11-04,1
2012-11-05,520
2012-11-06,588
2012-11-07,520
2012-11-08,738
2012-11-09,550
2012-11-12,473
2012-11-13,784
2012-11-14,617
2012-11-15,543
2012-11-16,519
2012-11-17,7
2012-11-18,1
2012-11-19,672
2012-11-20,640
2012-11-21,729
2012-11-22,552
2012-11-23,663
2012-11-24,6
2012-11-25,1
2012-11-26,658
2012-11-27,790
2012-11-28,883
2012-11-29,964
2012-11-30,1158
2012-12-01,4
2012-12-03,529
2012-12-04,549
2012-12-05,586
2012-12-06,576
2012-12-07,607
2012-12-08,13
2012-12-09,5
2012-12-10,682
2012-12-11,628
2012-12-12,800
2012-12-13,528
2012-12-14,890
2012-12-15,4
2012-12-16,3
2012-12-17,899
2012-12-18,1135
2012-12-19,871
2012-12-20,1667
2012-12-21,1049
2012-12-22,9
2012-12-23,1
2012-12-24,4
2012-12-26,1
2012-12-27,677
2012-12-28,794
2012-12-29,7
2012-12-30,31
2012-12-31,497
2013-01-01,7
2013-01-02,379
2013-01-03,577
2013-01-04,334
2013-01-05,5
2013-01-07,505
2013-01-08,497
2013-01-09,591
2013-01-10,476
2013-01-11,566
2013-01-13,4
2013-01-14,363
2013-01-15,491
2013-01-16,651
2013-01-17,660
2013-01-18,723
2013-01-19,1
2013-01-21,551
2013-01-22,581
2013-01-23,498
2013-01-24,628
2013-01-25,779
2013-01-26,1
2013-01-27,4
2013-01-28,790
2013-01-29,827
2013-01-30,1221
2013-01-31,1322
2013-02-01,475
2013-02-02,4
2013-02-03,17
2013-02-04,463
2013-02-05,625
2013-02-06,678
2013-02-07,634
2013-02-08,439
2013-02-09,1
2013-02-10,19
2013-02-11,740
2013-02-12,597
2013-02-13,600
2013-02-14,484
2013-02-15,457
2013-02-16,5
2013-02-18,458
2013-02-19,621
2013-02-20,677
